267,寸尺,tshùn-tshioh,,
268,小心,sió-sim,,
269,小月,sió-gue̍h/sió-ge̍h,,
270,小木,sió-ba̍k,,
271,工夫,kang-hu,,
272,三太子,Sam-thài-tsú,,
273,上尺工,siāng-tshe-kong,,
274,三心兩意,sam-sim-lióng-ì,,
275,大心氣,tuā-sim-khuì,,
276,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,,
277,三文魚,sam-bûn-hî/sam-bûn-hû,,
278,下水湯,hā-suí-thng,,
279,大爿,tuā-pîng,,
280,丸仔,uân-á,,
281,大兄,tuā-hiann,,
282,工仔,kang-á,,
283,巾仔,kin-á/kun-á,,
284,弓仔,king-á,,
285,大主大意,tuā-tsú-tuā-ì,,
286,大代誌,tuā tāi-tsì,,
287,上加,siōng-ke,,
288,上北,tsiūnn-pak,,
289,下司,ē-si,,
290,土包仔,thóo-pau-á,,
291,小可仔,sió-khuá-á,,
292,大四界,tuā-sì-kè/tuā-sì-kuè,,
293,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,,
294,下半暝,ē-puànn-mê/ē-puànn-mî,,
295,上市,tsiūnn-tshī,,
296,下本,hē-pún,,
297,大本,tuā-pún,,
298,小旦,sió-tuànn,,
299,上目,tsiūnn-ba̍k,,
300,口白,kháu-pe̍h,,
301,大目,tuā-ba̍k,,
302,小生,sió-sing,,
303,小玉仔,sió-gio̍k-á,,
304,小白菜,sió-pe̍h-tshài,,
305,大甲蓆,Tāi-kah-tshio̍h,,
306,上任,tsiūnn-jīm/tsiūnn-līm,,
307,久仰,kiú-gióng,,
308,干休,kan-hiu,,
309,大名,tuā-miâ,,
310,大囝,tuā-kiánn,,
311,小名,sió-miâ,,
312,小囝,sió-kiánn,,
313,大同仔,tāi-tông-á,,
314,上好,siōng hó,,
315,也好,iā-hó,,
316,土地,thóo-tē/thóo-tuē,,
317,土地公,Thóo-tī-kong,,
318,下早仔,e-tsái-á,,
319,大耳,tuā-hīnn/tuā-hī,,
320,大舌,tuā-tsi̍h,,
321,大伯,tuā-peh,,
322,大位,tuā-uī,,
323,工作,kang-tsok,,
324,山伯英台,San-phik-Ing-tâi,,
325,大妗,tuā-kīm,,
326,山尾溜,suann-bué-liu/suann-bé-liu,,
327,子弟,tsú-tē,,
328,小弟,sió-tī,,
329,子弟戲,tsú-tē-hì,,
330,三更,sann-kenn/sann-kinn,,
331,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,,
332,口灶,kháu-tsàu,,
333,小肚,sió-tōo,,
334,大肚胿,tuā-tōo-kui,,
335,三角,sann-kak,,
